ruta,carpeta,archivo,variedad,clase,hoja_id,hoja_L_med,hoja_L_desv,hoja_a_med,hoja_b_med,hoja_b_desv,hoja_f_oscuro,hoja_f_verdoso,hoja_f_claro,hoja_textura,lado_L_med,lado_L_desv,lado_a_med,lado_b_med,lado_b_desv,lado_f_oscuro,lado_f_verdoso,lado_f_claro,lado_textura,lado_abs_L_med,lado_abs_L_desv,lado_abs_a_med,lado_abs_b_med,lado_abs_b_desv,lado_abs_f_oscuro,lado_abs_f_verdoso,lado_abs_f_claro,lado_abs_textura,largo_pulg,ancho_pulg,aspecto,solidez,cobertura,hoja_entre_util,fondo_L_med,fondo_L_desv,fondo_a_med,fondo_b_med,fondo_b_desv,fondo_f_oscuro,fondo_f_verdoso,fondo_f_claro,fondo_textura
Connecticut/1-2_BANDA/20260824_180806012_iOS.heic,Connecticut/1-2_BANDA,20260824_180806012_iOS.heic,connecticut,media_banda,hoja_0022,174.0873,23.2328,3.3937,33.8779,4.6654,0.0813,0.0518,0.0337,76.333,-0.4184,-0.004,0.1444,-0.6586,-0.1887,-0.0173,-0.0075,0.1717,-0.0356,0.4184,0.004,0.1444,0.6586,0.1887,0.0173,0.0075,0.1717,0.0356,15.748,9.2358,0.4985,0.8855,0.3261,1.1931,79.9466,61.934,1.2348,-13.6114,6.7954,0.0,0.0543,0.1109,54.1608
Connecticut/1-2_BANDA/20260824_181015122_iOS.heic,Connecticut/1-2_BANDA,20260824_181015122_iOS.heic,connecticut,media_banda,hoja_0029,179.0157,27.021,3.8998,35.2815,5.9065,0.062,0.0802,0.0199,82.086,-0.6944,0.108,0.007,-0.1126,0.2076,-0.1926,-0.0425,-0.3947,-0.0033,0.6944,0.108,0.007,0.1126,0.2076,0.1926,0.0425,0.3947,0.0033,16.4441,8.6513,0.4735,0.9364,0.3143,1.2544,76.3257,58.6476,1.692,-13.7142,8.384,0.0,0.0553,0.092,47.9016
Connecticut/1-2_BANDA/20260824_181157290_iOS.heic,Connecticut/1-2_BANDA,20260824_181157290_iOS.heic,connecticut,media_banda,hoja_0032,176.51,25.5998,4.198,31.0716,5.5958,0.0788,0.0469,0.0313,75.5219,-0.7392,0.028,0.142,0.2699,-0.247,-0.0006,0.1096,0.1588,-0.0498,0.7392,0.028,0.142,0.2699,0.247,0.0006,0.1096,0.1588,0.0498,16.9997,8.6204,0.4395,0.9457,0.334,1.3287,79.1956,54.3415,1.8865,-14.3856,7.9435,0.0,0.0629,0.0869,50.384
Connecticut/1-2_BANDA/20260824_181218203_iOS.heic,Connecticut/1-2_BANDA,20260824_181218203_iOS.heic,connecticut,media_banda,hoja_0033,181.3415,24.8717,3.4064,33.0015,4.8027,0.0826,0.0452,0.026,74.3285,-0.905,0.1618,-0.2477,-0.486,-0.1306,-0.0018,-0.0371,0.0385,0.1209,0.905,0.1618,0.2477,0.486,0.1306,0.0018,0.0371,0.0385,0.1209,17.1863,9.2774,0.4768,0.9297,0.3485,1.305,68.6198,58.9809,2.3173,-15.383,8.6484,0.0,0.053,0.0917,42.6449
Connecticut/1-2_BANDA/20260824_181241109_iOS.heic,Connecticut/1-2_BANDA,20260824_181241109_iOS.heic,connecticut,media_banda,hoja_0034,191.0344,23.8577,4.8284,48.2491,4.9015,0.0764,0.0683,0.018,76.8139,-0.3355,-0.0002,0.2085,0.1212,-0.1227,0.0171,0.1424,0.214,-0.0053,0.3355,0.0002,0.2085,0.1212,0.1227,0.0171,0.1424,0.214,0.0053,15.168,6.8214,0.3898,0.9432,0.242,1.2242,75.9258,61.5645,0.3145,-0.4355,4.6294,0.0,0.0152,0.0874,51.9455
Connecticut/1-2_BANDA/20260824_181319084_iOS.heic,Connecticut/1-2_BANDA,20260824_181319084_iOS.heic,connecticut,media_banda,hoja_0036,174.8876,27.9608,2.9481,32.1448,4.3748,0.0875,0.039,0.0174,70.7133,-1.1189,0.2306,0.0859,-0.689,-0.1084,0.024,-0.0101,0.2811,0.1571,1.1189,0.2306,0.0859,0.689,0.1084,0.024,0.0101,0.2811,0.1571,17.888,10.1648,0.5114,0.9411,0.3998,1.3005,70.0407,59.1545,2.2255,-16.0355,9.2077,0.0,0.0454,0.1005,43.7054
Connecticut/1-2_BANDA/20260824_181339358_iOS.heic,Connecticut/1-2_BANDA,20260824_181339358_iOS.heic,connecticut,media_banda,hoja_0037,176.5709,28.7372,2.8868,37.74,6.4091,0.0715,0.0587,0.018,78.9229,-1.0288,0.2072,0.3211,-0.4127,0.2825,-0.0886,0.0745,-0.1076,0.0859,1.0288,0.2072,0.3211,0.4127,0.2825,0.0886,0.0745,0.1076,0.0859,15.1883,8.3245,0.475,0.9458,0.2786,1.2019,84.0834,60.3437,1.6863,-12.1984,7.5737,0.0,0.049,0.0953,52.1893
Connecticut/1-2_BANDA/20260824_181448154_iOS.heic,Connecticut/1-2_BANDA,20260824_181448154_iOS.heic,connecticut,media_banda,hoja_0041,186.7215,24.2548,5.0507,46.1436,10.2649,0.0745,0.1221,0.0142,79.0345,-0.4545,0.2178,-0.2203,-0.4755,0.4562,-0.0657,-0.1052,-0.2994,0.1471,0.4545,0.2178,0.2203,0.4755,0.4562,0.0657,0.1052,0.2994,0.1471,14.8099,5.8887,0.3247,0.9017,0.1904,1.2608,88.0125,64.7042,0.049,-2.5218,3.0019,0.0,0.0274,0.0894,61.1749
Connecticut/1-2_BANDA/20260824_181537890_iOS.heic,Connecticut/1-2_BANDA,20260824_181537890_iOS.heic,connecticut,media_banda,hoja_0044,177.7587,23.1784,1.5773,31.3107,4.932,0.0715,0.0927,0.0351,69.2102,-0.7413,0.0605,-0.0352,-0.4293,0.0274,-0.0554,0.2084,0.0557,0.0133,0.7413,0.0605,0.0352,0.4293,0.0274,0.0554,0.2084,0.0557,0.0133,17.7872,10.0991,0.5015,0.9382,0.3989,1.307,68.3123,55.8241,3.0347,-16.9818,9.3212,0.0,0.0414,0.092,47.1133
Connecticut/1-2_BANDA/20260824_181557641_iOS.heic,Connecticut/1-2_BANDA,20260824_181557641_iOS.heic,connecticut,media_banda,hoja_0045,180.3536,25.9503,3.3098,37.5874,6.3464,0.0734,0.0595,0.0247,78.7449,-0.6244,0.0902,0.0867,-0.0907,0.1725,0.0097,-0.3355,0.055,0.0312,0.6244,0.0902,0.0867,0.0907,0.1725,0.0097,0.3355,0.055,0.0312,16.335,8.5689,0.4721,0.9399,0.286,1.2829,73.7773,58.8076,1.4442,-12.512,7.6775,0.0,0.0582,0.0912,47.308
Connecticut/1-2_BANDA/20260824_182100913_iOS.heic,Connecticut/1-2_BANDA,20260824_182100913_iOS.heic,connecticut,media_banda,hoja_0057,174.9325,24.5756,4.336,32.349,4.8292,0.0836,0.0911,0.043,78.6025,-0.3355,0.0242,-0.1014,0.3994,-0.0494,0.0038,-0.068,0.0571,-0.0113,0.3355,0.0242,0.1014,0.3994,0.0494,0.0038,0.068,0.0571,0.0113,17.8021,8.6842,0.439,0.9304,0.3285,1.3037,76.2426,59.5336,1.4565,-14.193,7.9326,0.0,0.0552,0.0991,51.1903
Connecticut/1-2_BANDA/20260824_193857982_iOS.heic,Connecticut/1-2_BANDA,20260824_193857982_iOS.heic,connecticut,media_banda,hoja_0058,183.5137,21.1923,3.0872,31.5364,4.8561,0.0803,0.0767,0.028,58.3756,-1.1209,0.1409,0.1977,-0.7791,-0.0637,-0.0609,0.4765,0.2394,0.0716,1.1209,0.1409,0.1977,0.7791,0.0637,0.0609,0.4765,0.2394,0.0716,17.0118,9.4446,0.4904,0.9493,0.3419,1.3123,70.5943,60.0025,1.1713,-12.1593,7.5229,0.0,0.0507,0.0944,46.4335
Connecticut/BANDA_CNT/20260824_170437788_iOS.heic,Connecticut/BANDA_CNT,20260824_170437788_iOS.heic,connecticut,banda,hoja_0063,176.0348,24.8922,4.3029,31.5996,4.2862,0.0878,0.0938,0.0199,69.0483,-0.992,0.1605,0.3172,-0.4646,-0.1255,0.0253,-0.0582,0.2679,0.0728,0.992,0.1605,0.3172,0.4646,0.1255,0.0253,0.0582,0.2679,0.0728,17.5522,10.1434,0.549,0.9417,0.3831,1.2857,83.6561,60.1873,1.7338,-15.0328,7.1152,0.0,0.0483,0.1155,56.0318
Connecticut/BANDA_CNT/20260824_170812555_iOS.heic,Connecticut/BANDA_CNT,20260824_170812555_iOS.heic,connecticut,banda,hoja_0064,177.1044,23.7186,3.221,29.1201,5.3976,0.0836,0.0742,0.0347,70.7181,-0.8325,0.1218,0.1507,-0.5044,-0.1941,0.0181,0.3445,0.0283,0.0692,0.8325,0.1218,0.1507,0.5044,0.1941,0.0181,0.3445,0.0283,0.0692,17.555,7.8644,0.4032,0.9667,0.3197,1.3559,79.0267,58.9065,1.6638,-14.6237,8.0063,0.0,0.0432,0.0978,52.1643
Connecticut/BANDA_CNT/20260824_171047756_iOS.heic,Connecticut/BANDA_CNT,20260824_171047756_iOS.heic,connecticut,banda,hoja_0067,175.6017,22.3661,2.6143,30.2314,4.4841,0.0821,0.0963,0.0275,68.885,-0.7545,0.0365,0.1545,-0.0186,-0.1643,-0.0233,-0.2199,0.2026,-0.01,0.7545,0.0365,0.1545,0.0186,0.1643,0.0233,0.2199,0.2026,0.01,16.7394,9.5351,0.5221,0.9557,0.3817,1.3174,78.6778,55.5113,2.3795,-16.829,8.6027,0.0,0.0614,0.1043,49.2526
Connecticut/BANDA_CNT/20260824_171828033_iOS.heic,Connecticut/BANDA_CNT,20260824_171828033_iOS.heic,connecticut,banda,hoja_0070,175.9014,24.5062,4.5312,33.6275,4.1055,0.0885,0.0864,0.036,69.7433,-0.8674,0.0782,-0.0293,-0.6898,-0.1343,0.0087,-0.0814,0.0177,0.0566,0.8674,0.0782,0.0293,0.6898,0.1343,0.0087,0.0814,0.0177,0.0566,17.0412,8.1293,0.4214,0.9365,0.3048,1.31,83.4858,59.8586,0.9406,-12.1064,6.5133,0.0,0.0606,0.097,55.1655
Connecticut/BANDA_CNT/20260824_172221551_iOS.heic,Connecticut/BANDA_CNT,20260824_172221551_iOS.heic,connecticut,banda,hoja_0074,179.8421,24.3089,3.3736,33.4181,4.4637,0.0824,0.0492,0.0184,68.9009,-0.8495,0.122,0.4208,-0.5038,-0.1041,-0.0094,-0.1411,0.337,0.1014,0.8495,0.122,0.4208,0.5038,0.1041,0.0094,0.1411,0.337,0.1014,17.7035,9.5326,0.4756,0.9664,0.3916,1.3196,77.2116,60.166,1.9689,-14.5091,7.9709,0.0,0.0406,0.108,53.2237
Connecticut/BANDA_CNT/20260824_172316153_iOS.heic,Connecticut/BANDA_CNT,20260824_172316153_iOS.heic,connecticut,banda,hoja_0076,178.735,26.199,2.8677,34.8122,5.0632,0.0758,0.056,0.0339,74.4273,-0.9136,0.0442,0.2528,-0.3395,-0.0581,0.0346,0.2735,0.4241,0.0076,0.9136,0.0442,0.2528,0.3395,0.0581,0.0346,0.2735,0.4241,0.0076,17.269,8.9197,0.4649,0.9394,0.3336,1.2975,79.7912,58.4878,2.241,-15.2879,7.1772,0.0,0.049,0.1066,55.0429
Connecticut/BANDA_CNT/20260824_172401211_iOS.heic,Connecticut/BANDA_CNT,20260824_172401211_iOS.heic,connecticut,banda,hoja_0077,184.6515,25.5315,2.284,33.6279,5.4316,0.0824,0.0607,0.0307,63.9351,-0.7264,0.1365,0.2967,-0.4027,-0.0836,0.0562,0.1983,-0.0287,0.0514,0.7264,0.1365,0.2967,0.4027,0.0836,0.0562,0.1983,0.0287,0.0514,17.0734,9.1434,0.4641,0.9464,0.3483,1.3314,74.7012,55.8037,2.9793,-17.2807,8.1725,0.0,0.0396,0.099,45.3793
Connecticut/BANDA_CNT/20260824_172645796_iOS.heic,Connecticut/BANDA_CNT,20260824_172645796_iOS.heic,connecticut,banda,hoja_0081,186.9115,23.455,2.8628,30.9464,4.6437,0.0806,0.0527,0.0345,69.9566,-0.6567,0.0563,-0.0313,-0.2189,-0.0868,0.0224,-0.002,0.0995,0.0397,0.6567,0.0563,0.0313,0.2189,0.0868,0.0224,0.002,0.0995,0.0397,17.7404,8.7077,0.4499,0.9718,0.3637,1.3185,69.9323,56.4764,2.2831,-15.676,8.1507,0.0,0.0547,0.0927,44.685
Connecticut/BANDA_CNT/20260824_173030045_iOS.heic,Connecticut/BANDA_CNT,20260824_173030045_iOS.heic,connecticut,banda,hoja_0083,188.0868,23.9593,3.0892,32.1975,5.0505,0.0807,0.0885,0.0316,72.4904,-0.6686,0.0922,0.1312,-0.1705,-0.1385,-0.0169,-0.2192,0.2125,0.0752,0.6686,0.0922,0.1312,0.1705,0.1385,0.0169,0.2192,0.2125,0.0752,15.1927,8.8944,0.4879,0.9152,0.3125,1.1998,77.0816,59.5185,2.1295,-15.6678,7.5496,0.0,0.0624,0.1034,50.8052
Connecticut/BANDA_CNT/20260824_173344335_iOS.heic,Connecticut/BANDA_CNT,20260824_173344335_iOS.heic,connecticut,banda,hoja_0087,182.0196,25.2243,3.8004,34.1831,5.3666,0.0811,0.0548,0.0235,78.1136,-0.6455,0.0374,0.0214,-0.0497,-0.1382,0.0093,-0.1472,0.3404,-0.0011,0.6455,0.0374,0.0214,0.0497,0.1382,0.0093,0.1472,0.3404,0.0011,16.9376,8.762,0.457,0.9585,0.3458,1.3383,76.2306,54.0553,2.2496,-15.9801,7.8258,0.0,0.0579,0.0951,52.5731
Connecticut/BANDA_CNT/20260824_173554869_iOS.heic,Connecticut/BANDA_CNT,20260824_173554869_iOS.heic,connecticut,banda,hoja_0090,178.2495,25.6524,3.0489,30.6649,4.5451,0.0781,0.0457,0.0368,75.3185,-0.6695,-0.0127,-0.0003,-0.5975,-0.1847,-0.0355,0.3536,0.336,0.013,0.6695,0.0127,0.0003,0.5975,0.1847,0.0355,0.3536,0.336,0.013,18.3554,9.7014,0.5021,0.9518,0.3692,1.2832,81.8328,57.2967,2.1228,-16.2318,7.8025,0.0,0.0607,0.0948,51.6826
Connecticut/BANDA_CNT/20260824_173634892_iOS.heic,Connecticut/BANDA_CNT,20260824_173634892_iOS.heic,connecticut,banda,hoja_0091,171.4852,31.1536,2.7614,32.1768,5.334,0.0779,0.0983,0.0381,90.7295,-0.8193,-0.0142,0.2225,-0.7194,-0.0901,0.0145,-0.1884,0.4877,0.0202,0.8193,0.0142,0.2225,0.7194,0.0901,0.0145,0.1884,0.4877,0.0202,16.7159,8.1618,0.4232,0.9426,0.3092,1.3212,83.8301,60.0942,1.843,-13.6243,7.5578,0.0,0.0541,0.103,54.2637
Connecticut/BANDA_CNT/20260824_173706170_iOS.heic,Connecticut/BANDA_CNT,20260824_173706170_iOS.heic,connecticut,banda,hoja_0092,188.629,22.7128,3.2869,31.2302,5.5671,0.0776,0.0518,0.0366,72.3321,-0.6997,0.0371,0.0176,-0.529,-0.0674,-0.0097,0.3391,0.4105,0.0063,0.6997,0.0371,0.0176,0.529,0.0674,0.0097,0.3391,0.4105,0.0063,17.1144,9.4674,0.4794,0.9387,0.3472,1.3104,75.3253,57.8406,1.7527,-14.849,7.3758,0.0,0.0481,0.097,49.3785
Connecticut/BANDA_CNT/20260824_173851105_iOS.heic,Connecticut/BANDA_CNT,20260824_173851105_iOS.heic,connecticut,banda,hoja_0094,176.6201,25.7926,3.9944,33.8446,4.3809,0.0705,0.0961,0.0454,78.375,-0.7065,0.0678,0.0409,-0.2364,0.0176,-0.012,-0.0625,-0.1358,0.0199,0.7065,0.0678,0.0409,0.2364,0.0176,0.012,0.0625,0.1358,0.0199,16.3067,7.5118,0.4069,0.951,0.2661,1.2885,80.5572,55.8135,1.6248,-13.6531,7.9246,0.0,0.039,0.093,50.8615
Connecticut/BANDA_CNT/20260824_174202419_iOS.heic,Connecticut/BANDA_CNT,20260824_174202419_iOS.heic,connecticut,banda,hoja_0098,178.0448,25.3729,3.1025,29.7817,3.5993,0.081,0.0489,0.0214,68.8137,-0.915,0.1079,0.1804,0.1272,-0.1059,0.0598,0.0941,0.2696,0.0097,0.915,0.1079,0.1804,0.1272,0.1059,0.0598,0.0941,0.2696,0.0097,18.3142,8.1847,0.4097,0.9492,0.3512,1.3202,76.804,53.9641,1.1436,-13.5955,7.6069,0.0,0.0496,0.0923,50.0135
Connecticut/BANDA_CNT/20260824_174731128_iOS.heic,Connecticut/BANDA_CNT,20260824_174731128_iOS.heic,connecticut,banda,hoja_0104,190.8463,24.7718,3.4891,30.2553,5.1001,0.0741,0.0805,0.04,70.8858,-0.7566,0.0796,0.4861,-0.5552,-0.1199,-0.0347,-0.1513,0.2132,0.0434,0.7566,0.0796,0.4861,0.5552,0.1199,0.0347,0.1513,0.2132,0.0434,16.5548,8.5052,0.4196,0.8764,0.3087,1.3007,71.5483,55.1448,1.1561,-11.0575,7.1633,0.0,0.0324,0.0779,41.7598
Connecticut/BANDA_CNT/20260824_174842311_iOS.heic,Connecticut/BANDA_CNT,20260824_174842311_iOS.heic,connecticut,banda,hoja_0106,179.4804,23.0088,4.0144,30.351,4.4013,0.0767,0.1025,0.0353,64.9848,-0.8341,0.0892,0.0993,-0.6172,-0.0573,-0.0486,0.2569,0.2632,0.0044,0.8341,0.0892,0.0993,0.6172,0.0573,0.0486,0.2569,0.2632,0.0044,16.6668,8.7577,0.4642,0.9489,0.3358,1.298,73.7183,57.401,2.1074,-14.2885,8.4732,0.0,0.0524,0.0901,44.6306
Connecticut/BANDA_CNT/20260824_174917858_iOS.heic,Connecticut/BANDA_CNT,20260824_174917858_iOS.heic,connecticut,banda,hoja_0107,175.8211,24.5112,4.2898,32.552,4.1701,0.0851,0.0665,0.0365,72.8414,-0.6653,0.1389,0.0216,0.2979,-0.0734,0.0666,0.0016,0.0308,0.0402,0.6653,0.1389,0.0216,0.2979,0.0734,0.0666,0.0016,0.0308,0.0402,17.3259,8.3429,0.4414,0.9618,0.345,1.3261,82.9945,59.6859,1.9525,-13.735,7.3588,0.0,0.0611,0.1018,51.9534
Connecticut/BANDA_CNT/20260824_175118621_iOS.heic,Connecticut/BANDA_CNT,20260824_175118621_iOS.heic,connecticut,banda,hoja_0110,177.9154,27.2301,2.7211,33.8393,5.3235,0.0831,0.101,0.0319,81.9672,-0.6504,0.0415,0.346,-0.0567,-0.1836,0.0184,0.2614,0.1952,0.0261,0.6504,0.0415,0.346,0.0567,0.1836,0.0184,0.2614,0.1952,0.0261,16.0559,8.8995,0.4619,0.9212,0.3174,1.2603,79.1962,61.3103,1.8916,-13.5744,7.7167,0.0,0.0502,0.1001,52.373
Connecticut/BANDA_CNT/20260824_175249873_iOS.heic,Connecticut/BANDA_CNT,20260824_175249873_iOS.heic,connecticut,banda,hoja_0113,175.2793,25.3318,4.6054,30.9827,3.8102,0.0797,0.0562,0.0213,76.7891,-0.7413,0.0941,0.0109,-0.3969,0.0115,0.1067,0.12,0.1318,0.0507,0.7413,0.0941,0.0109,0.3969,0.0115,0.1067,0.12,0.1318,0.0507,16.157,7.7864,0.4096,0.936,0.2956,1.2871,82.5004,57.9549,0.9168,-11.8283,7.4298,0.0,0.0526,0.0957,48.9638
Connecticut/BANDA_CNT/20260824_175802451_iOS.heic,Connecticut/BANDA_CNT,20260824_175802451_iOS.heic,connecticut,banda,hoja_0124,175.6406,25.4856,4.9044,33.8252,4.1832,0.0784,0.058,0.0291,76.5901,-0.813,0.1175,0.1821,-0.2403,-0.1379,0.0002,-0.1293,0.2515,0.0763,0.813,0.1175,0.1821,0.2403,0.1379,0.0002,0.1293,0.2515,0.0763,15.7755,8.2357,0.4176,0.8305,0.2973,1.279,82.8402,59.4061,0.6797,-11.364,6.4884,0.0,0.0727,0.0998,55.0912
Connecticut/BANDA_CNT/20260824_175834820_iOS.heic,Connecticut/BANDA_CNT,20260824_175834820_iOS.heic,connecticut,banda,hoja_0125,179.9456,24.8492,3.1064,29.3801,4.4259,0.0799,0.0644,0.0291,75.3209,-0.7851,0.1274,-0.1317,-0.1529,-0.0006,-0.0489,0.1664,0.1997,0.0496,0.7851,0.1274,0.1317,0.1529,0.0006,0.0489,0.1664,0.1997,0.0496,16.6378,9.0248,0.4611,0.9139,0.323,1.2966,83.7282,57.5467,1.5439,-14.0406,7.4083,0.0,0.0425,0.0994,52.2517
Connecticut/CAPA_CONNECTICUT/20260817_180628742_iOS.jpg,Connecticut/CAPA_CONNECTICUT,20260817_180628742_iOS.jpg,connecticut,capa,hoja_0130,182.5605,23.3986,4.2544,32.9294,3.9797,0.067,0.0728,0.0264,53.1389,-1.2993,0.1787,0.1154,-0.5954,-0.0568,-0.1155,-0.2569,0.1456,0.0074,1.2993,0.1787,0.1154,0.5954,0.0568,0.1155,0.2569,0.1456,0.0074,17.8463,9.1493,0.4614,0.9606,0.289,1.3302,79.4875,54.0836,0.9754,-12.9469,7.2062,0.0,0.0502,0.0734,34.6305
Connecticut/CAPA_CONNECTICUT/20260817_180654648_iOS.jpg,Connecticut/CAPA_CONNECTICUT,20260817_180654648_iOS.jpg,connecticut,capa,hoja_0131,190.3141,17.9979,4.2331,36.7561,4.9128,0.0598,0.0759,0.0349,57.4586,-0.7672,0.0047,0.0892,-0.0966,-0.1384,0.0632,-0.1648,0.0248,-0.0812,0.7672,0.0047,0.0892,0.0966,0.1384,0.0632,0.1648,0.0248,0.0812,14.37,7.7937,0.4881,0.9638,0.2146,1.1822,89.7693,50.064,1.2206,-8.7987,10.7971,0.1127,0.0116,0.0822,36.6659
