carpeta;archivo;clase_real;variedad_dicha;clase_dicha;conf_variedad;conf_calidad;acierto_medido;decision;veto;recipiente;segunda;ancho_cinta;ya_conocida;error
Capa;20260911_153608230_iOS.heic;capa;connecticut;capa;1.0;0.9319;0.9309904153354632;aceptar;False;2;banda;40.96;0;
Capa;20260911_153634799_iOS.heic;capa;connecticut;capa;1.0;0.8347;0.9005405405405406;aceptar;False;2;xr_der;42.666666666666664;0;
Capa;20260911_153655571_iOS.heic;capa;connecticut;capa;1.0;0.487;0.8370402053036784;aceptar;False;2;xl_izq;46.08;0;
Capa;20260911_153715115_iOS.heic;capa;connecticut;capa;1.0;0.6432;0.8627634660421546;aceptar;False;2;xl_izq;46.64888888888889;0;
Capa;20260911_153742354_iOS.heic;capa;connecticut;capa;1.0;0.3883;0.830180748213535;revision_manual;False;11;xl_izq;45.51111111111111;0;
Capa;20260911_153811082_iOS.heic;capa;connecticut;media_banda;0.9925;0.4404;0.8297696319631818;revision_manual;False;11;banda;53.19111111111111;0;
Capa;20260911_153832767_iOS.heic;capa;connecticut;capa;1.0;0.8547;0.9049198452183527;aceptar;False;2;xl_izq;42.666666666666664;0;
Capa;20260911_153901232_iOS.heic;capa;connecticut;capa;1.0;0.4921;0.8370402053036784;aceptar;False;2;xl_izq;39.82222222222222;0;
Capa;20260911_153921139_iOS.heic;capa;connecticut;capa;1.0;0.774;0.8874239350912779;aceptar;False;2;banda;42.666666666666664;0;
Capa;20260911_153937041_iOS.heic;capa;connecticut;capa;0.9974;0.991;0.9849603463866539;aceptar;False;2;xl_izq;41.528888888888886;0;
Capa;20260911_154003115_iOS.heic;capa;connecticut;capa;1.0;0.4626;0.830180748213535;aceptar;False;2;xl_izq;43.80444444444444;0;
Capa;20260911_154022357_iOS.heic;capa;connecticut;capa;0.9999;0.9918;0.9851258581235698;aceptar;False;2;xl_izq;40.96;0;
Capa;20260911_154103982_iOS.heic;capa;connecticut;xl_izq;1.0;0.5854;0.8546931407942239;aceptar;False;4;capa;43.23555555555556;0;
Capa;20260911_154126702_iOS.heic;capa;connecticut;capa;1.0;0.7314;0.882762046696473;aceptar;False;2;media_banda;44.373333333333335;0;
Capa;20260911_154204680_iOS.heic;capa;connecticut;xr_der;1.0;0.6085;0.8546931407942239;aceptar;False;5;capa;42.09777777777778;0;
Capa;20260911_154240704_iOS.heic;capa;connecticut;xl_izq;1.0;0.6004;0.8546931407942239;aceptar;False;4;capa;43.80444444444444;0;
Capa;20260911_154405715_iOS.heic;capa;connecticut;capa;1.0;0.8683;0.9106840022611645;aceptar;False;2;media_banda;;0;
Capa;20260911_154426643_iOS.heic;capa;connecticut;capa;1.0;0.9349;0.9309904153354632;aceptar;False;2;banda;46.08;0;
Capa;20260911_154449975_iOS.heic;capa;connecticut;capa;1.0;0.6956;0.875791524598149;aceptar;False;2;xr_der;48.92444444444445;0;
Capa;20260911_154509422_iOS.heic;capa;connecticut;capa;0.9936;0.6672;0.8672875826576775;aceptar;False;2;xl_izq;44.373333333333335;0;
Capa;20260911_154529494_iOS.heic;capa;connecticut;capa;1.0;0.7138;0.875791524598149;aceptar;False;2;xr_der;44.373333333333335;0;
Capa;20260911_154546800_iOS.heic;capa;connecticut;capa;0.9785;0.8592;0.9044717171999217;aceptar;False;2;xl_izq;45.51111111111111;0;
Capa;20260911_154605326_iOS.heic;capa;connecticut;capa;1.0;0.9538;0.9438669438669439;aceptar;False;2;xr_der;42.09777777777778;0;
Capa;20260911_154624220_iOS.heic;capa;connecticut;capa;1.0;0.9828;0.9740018570102136;aceptar;False;2;media_banda;40.39111111111111;0;
Capa;20260911_154645512_iOS.heic;capa;connecticut;capa;1.0;0.7278;0.882762046696473;aceptar;False;2;xl_izq;43.80444444444444;0;
Capa;20260911_154702773_iOS.heic;capa;connecticut;xl_izq;1.0;0.718;0.875791524598149;aceptar;False;4;media_banda;43.80444444444444;0;
Capa;20260911_154723499_iOS.heic;capa;connecticut;capa;1.0;0.7022;0.875791524598149;aceptar;False;2;xl_izq;45.51111111111111;0;
Capa;20260911_154745156_iOS.heic;capa;connecticut;banda;1.0;0.8736;0.9106840022611645;aceptar;False;1;capa;43.80444444444444;0;
Capa;20260911_154821614_iOS.heic;capa;connecticut;capa;1.0;0.9153;0.9216757741347905;aceptar;False;2;banda;43.23555555555556;0;
Capa;20260911_154848558_iOS.heic;capa;connecticut;capa;1.0;0.9045;0.918790752815649;aceptar;False;2;xr_der;48.92444444444445;0;
Capa;20260911_154920053_iOS.heic;capa;connecticut;xr_der;1.0;0.77;0.8874239350912779;aceptar;False;5;xl_izq;43.80444444444444;0;
Capa;20260911_154947707_iOS.heic;capa;connecticut;capa;1.0;0.8691;0.9106840022611645;aceptar;False;2;xl_izq;47.78666666666667;0;
Capa;20260911_155026192_iOS.heic;capa;connecticut;capa;1.0;0.5106;0.8415324336090553;aceptar;False;2;banda;43.23555555555556;0;
Capa;20260911_155041699_iOS.heic;capa;connecticut;capa;1.0;0.4815;0.8370402053036784;aceptar;False;2;xl_izq;43.80444444444444;0;
Capa;20260911_155101344_iOS.heic;capa;connecticut;xl_izq;1.0;0.5073;0.8370402053036784;aceptar;False;4;capa;46.08;0;
Capa;20260911_155123615_iOS.heic;capa;connecticut;capa;1.0;0.9796;0.9731663685152058;aceptar;False;2;xl_izq;41.528888888888886;0;
Capa;20260911_155141505_iOS.heic;capa;connecticut;capa;1.0;0.7172;0.875791524598149;aceptar;False;2;banda;46.64888888888889;0;
Xl izquierdo;20260911_155509134_iOS.heic;xl_izq;connecticut;capa;1.0;0.7999;0.891765924391507;aceptar;False;2;xr_der;46.64888888888889;0;
Xl izquierdo;20260911_155522987_iOS.heic;xl_izq;connecticut;xl_izq;1.0;0.6553;0.8627634660421546;aceptar;False;4;media_banda;;0;
Xl izquierdo;20260911_155539515_iOS.heic;xl_izq;connecticut;xl_izq;1.0;0.6665;0.8677172874880611;aceptar;False;4;capa;529.0666666666667;0;
Xl izquierdo;20260911_155603642_iOS.heic;xl_izq;connecticut;xl_izq;1.0;0.8495;0.9005405405405406;aceptar;False;4;capa;;0;
Xl izquierdo;20260911_155630618_iOS.heic;xl_izq;connecticut;media_banda;1.0;0.5123;0.8415324336090553;aceptar;False;3;xr_der;;0;
Xl izquierdo;20260911_155707937_iOS.heic;xl_izq;connecticut;xl_izq;1.0;0.9237;0.927148194271482;aceptar;False;4;media_banda;48.92444444444445;0;
Xl izquierdo;20260911_155726778_iOS.heic;xl_izq;connecticut;media_banda;1.0;0.7781;0.891765924391507;aceptar;False;3;banda;48.92444444444445;0;
Xl izquierdo;20260911_155744679_iOS.heic;xl_izq;connecticut;media_banda;1.0;0.5009;0.8370402053036784;aceptar;False;3;xr_der;;0;
Xl izquierdo;20260911_155814464_iOS.heic;xl_izq;connecticut;media_banda;1.0;0.9921;0.985594237695078;aceptar;False;3;xl_izq;;0;
Xl izquierdo;20260911_160109565_iOS.heic;xl_izq;connecticut;capa;1.0;0.6062;0.8546931407942239;aceptar;False;2;xl_izq;48.92444444444445;0;
Xl izquierdo;20260911_160151563_iOS.heic;xl_izq;connecticut;xl_izq;1.0;0.5625;0.8484714222419141;aceptar;False;4;capa;49.49333333333333;0;
Xl izquierdo;20260911_160222302_iOS.heic;xl_izq;connecticut;media_banda;1.0;0.4987;0.8370402053036784;aceptar;False;3;capa;47.78666666666667;0;
Xl izquierdo;20260911_160239434_iOS.heic;xl_izq;connecticut;capa;1.0;0.999;0.993421052631579;aceptar;False;2;xl_izq;46.64888888888889;0;
Xl izquierdo;20260911_160253487_iOS.heic;xl_izq;connecticut;xl_izq;1.0;0.6941;0.8677172874880611;aceptar;False;4;media_banda;49.49333333333333;0;
Xl izquierdo;20260911_160316077_iOS.heic;xl_izq;connecticut;banda;1.0;0.5919;0.8546931407942239;aceptar;False;1;media_banda;51.2;0;
Xl izquierdo;20260911_160352812_iOS.heic;xl_izq;habano;media_banda;0.8276;0.7228;0.9388801350360063;aceptar;False;8;capa;;0;
Xl izquierdo;20260911_160413627_iOS.heic;xl_izq;connecticut;xl_izq;1.0;0.9957;0.9895522388059701;aceptar;False;4;capa;50.062222222222225;0;
Xl izquierdo;20260911_160600615_iOS.heic;xl_izq;connecticut;xl_izq;1.0;0.8947;0.9166666666666666;aceptar;False;4;capa;51.76888888888889;0;
Xl izquierdo;20260911_160706956_iOS.heic;xl_izq;connecticut;xl_izq;1.0;0.6237;0.8606896551724138;aceptar;False;4;media_banda;50.062222222222225;0;
Xl izquierdo;20260911_160722162_iOS.heic;xl_izq;connecticut;xl_izq;1.0;0.9943;0.9906914893617021;aceptar;False;4;media_banda;54.044444444444444;0;
Xl izquierdo;20260911_160739965_iOS.heic;xl_izq;connecticut;xl_izq;1.0;0.6293;0.8606896551724138;aceptar;False;4;media_banda;;0;
Xl izquierdo;20260911_160812762_iOS.heic;xl_izq;connecticut;xl_izq;1.0;0.7139;0.875791524598149;aceptar;False;4;media_banda;48.355555555555554;0;
Xr Der;20260911_160917418_iOS.heic;xr_der;connecticut;xr_der;1.0;0.5345;0.8484714222419141;aceptar;False;5;media_banda;;0;
Xr Der;20260911_160934598_iOS.heic;xr_der;connecticut;media_banda;0.9992;0.9146;0.9215209226942437;aceptar;False;3;banda;;0;
Xr Der;20260911_160948895_iOS.heic;xr_der;connecticut;xr_der;1.0;0.9922;0.985594237695078;aceptar;False;5;capa;51.76888888888889;0;
Xr Der;20260911_161005919_iOS.heic;xr_der;connecticut;media_banda;1.0;0.5241;0.8415324336090553;aceptar;False;3;banda;51.2;0;
Xr Der;20260911_161023017_iOS.heic;xr_der;connecticut;media_banda;1.0;0.8492;0.9005405405405406;aceptar;False;3;banda;47.78666666666667;0;
Xr Der;20260911_161042953_iOS.heic;xr_der;connecticut;media_banda;1.0;0.6326;0.8606896551724138;aceptar;False;3;capa;52.906666666666666;0;
Xr Der;20260911_161058068_iOS.heic;xr_der;connecticut;banda;1.0;0.8241;0.8947646747752512;aceptar;False;1;media_banda;52.33777777777778;0;
Xr Der;20260911_161114446_iOS.heic;xr_der;connecticut;media_banda;0.9997;0.9948;0.9901547116736991;aceptar;False;3;xr_der;;0;
Xr Der;20260911_161128151_iOS.heic;xr_der;connecticut;xr_der;1.0;0.6867;0.8677172874880611;aceptar;False;5;capa;;0;
Xr Der;20260911_161143157_iOS.heic;xr_der;connecticut;media_banda;1.0;0.8513;0.9049198452183527;aceptar;False;3;capa;47.217777777777776;0;
Xr Der;20260911_161202508_iOS.heic;xr_der;connecticut;xr_der;1.0;0.9222;0.927148194271482;aceptar;False;5;capa;55.75111111111111;0;
Xr Der;20260911_161225033_iOS.heic;xr_der;connecticut;xr_der;1.0;0.3541;0.830180748213535;revision_manual;False;11;media_banda;49.49333333333333;0;
Xr Der;20260911_161238730_iOS.heic;xr_der;connecticut;xr_der;1.0;0.9068;0.9216757741347905;aceptar;False;5;media_banda;48.92444444444445;0;
Xr Der;20260911_161255600_iOS.heic;xr_der;connecticut;xr_der;1.0;0.9484;0.9386792452830188;aceptar;False;5;capa;47.78666666666667;0;
Xr Der;20260911_161315920_iOS.heic;xr_der;connecticut;media_banda;1.0;0.6685;0.8677172874880611;aceptar;False;3;xr_der;47.217777777777776;0;
Xr Der;20260911_161335259_iOS.heic;xr_der;connecticut;xr_der;1.0;0.9955;0.9895522388059701;aceptar;False;5;media_banda;48.92444444444445;0;
Xr Der;20260911_161352298_iOS.heic;xr_der;connecticut;xr_der;1.0;0.8483;0.9005405405405406;aceptar;False;5;media_banda;47.78666666666667;0;
Xr Der;20260911_161407195_iOS.heic;xr_der;connecticut;capa;1.0;0.3509;0.830180748213535;revision_manual;False;11;media_banda;47.217777777777776;0;
Xr Der;20260911_161421883_iOS.heic;xr_der;connecticut;media_banda;1.0;0.5882;0.8546931407942239;aceptar;False;3;xr_der;44.373333333333335;0;
